Property Name,Data Type,Description,Services,Service Count
enableCheckInForMeetingRoomEmpHome,BOOLEAN,Displays the check-in button on the 'Today's Meeting' widget for old room types and allows check-in from Employee Home.,Emp Exp Common Config,1
enableCheckInReminderEmailForRoom,BOOLEAN,Enables check-in reminder emails for meeting rooms.,Meeting Rooms,1
enableCheckInReminderNotificationForRoom,BOOLEAN,Sends app notification reminder for meeting room check-in.,Meeting Rooms,1
enableColorInParkingVehicleCreation,BOOLEAN,Adds vehicle color input field in parking vehicle creation.,Emp Exp Common Config,1
enableConsentCheckboxSafeReach,BOOLEAN,Enables additional consent checkbox in Safe Reach form.,VMS,1
enabledBuidForVisitorConfigs,LIST,Enables visitor notification page.,VMS,1
enabledCheckInEmailBodyParam,LIST,Defines enabled parameters in check-in email body.,Emp Exp Common Config,1
enabledCheckInEmailBodyParamNames,LIST,Defines parameter names in check-in email body.,Emp Exp Common Config,1
enableDelegationForAdmins,BOOLEAN,Allows admins to manage delegation.,Emp Exp Common Config,1
enableDynamicFields,BOOLEAN,Enables configurable dynamic fields per BU.,"Booking Rule Engine, Emp Exp Common Config, VMS",3
enableEmployeeEmailNotification,BOOLEAN,Enables check-in notifications to employees.,VMS,1
enableEmployeeMSTeamNotification,BOOLEAN,Enables MS Teams notifications for employee check-in flow.,VMS,1
enableEmployeePreferences,BOOLEAN,Enables employee preference settings on web.,Emp Exp Common Config,1
enableEmployeeRFIDColumn,BOOLEAN,Enables RFID number field and prevents duplicates.,Emp Exp Common Config,1
enableFloorPlanAccessibility,BOOLEAN,Enables accessibility features for visually impaired users.,Emp Exp Common Config,1
enableGeofenceCheckFor,LIST,Enables GPS/geofence validation for specified workflows.,Emp Exp Common Config,1
enableGeofenceCheckForCheckin,BOOLEAN,Enforces check-in validation within defined geofence limits.,"Emp Exp Common Config, Emp Exp Internal Config",2
enableGridFloorPlan,BOOLEAN,Enables grid-based parking floor plan.,Emp Exp Common Config,1
enableIndoorNavigation,BOOLEAN,-,Booking Rule Engine,1
enableJoinAllWaitlist,BOOLEAN,Allows joining waitlists across all parking levels.,Emp Exp Common Config,1
enableMealBookingNudge,BOOLEAN,-,Booking Rule Engine,1
enableMealCartView,BOOLEAN,Activates meal cart and payment flow when enabled with showMealPaymentCTA.,Emp Exp Common Config,1
enableMealConfigureKiosk,BOOLEAN,To enable 'Configure Kiosk' button on meal dashboard.,Booking Rule Engine,1
enableMealDayWiseAvailability,BOOLEAN,Allows admin to configure meal availability per day.,Emp Exp Common Config,1
enableMealImageIn,LIST,To show meal image in meal item.,Emp Exp Common Config,1
enableMealOnlyBulkUpload,BOOLEAN,-,Booking Rule Engine,1
EnableMRMailCancel,BOOLEAN,Sends mail over email when meeting room cancellation is triggered via kiosk to the organiser,Meeting Rooms,1
EnableMROTPCancel,BOOLEAN,Controls OTP verification over email when meeting room cancellation is triggered via kiosk to the organiser,Meeting Rooms,1
enableMultiAllocation,LIST,Controls desk multi-allocation functionality and displays the Multi-allocated Desk legend entry on floor plans when value includes 'DESK'.,Emp Exp Common Config,1
enableMultiMealSelect,BOOLEAN,Enables multi selection on meal booking.,Emp Exp Common Config,1
enableNewAdminDashboard,BOOLEAN,Enables Admin Dashboard 2.0.,Emp Exp Common Config,1
enableNewAllocationFlow,BOOLEAN,Enables new allocation flow required for time-based allocation.,Emp Exp Common Config,1
EnableNewEmailTemplate,BOOLEAN,Enables new email template format.,Emp Exp Common Config,1
enableNoninteractiveVisitorInvite,BOOLEAN,Enables non-interactive email notifications.,VMS,1
enableOfficeCheckInWithParkingCheckIn,BOOLEAN,Controls whether office check-in is automatically completed along with parking check-in.,"Booking Rule Engine, Emp Exp Common Config, Guard App",3
enableOtpOverride,BOOLEAN,Enables OTP override flow on VMS kiosk.,VMS,1
enableOTPValidationSelfCheckin,BOOLEAN,Enables OTP validation on kiosk.,VMS,1
enableOTPValidationSelfCheckinList,LIST,Enables OTP validation in kiosk self check-in flow.,VMS,1
enableParkingAvailabilityWidgetWithoutBooking,BOOLEAN,"When the parking booking module is not enabled for the client, but they only want to consume the available slot numbers.",Booking Rule Engine,1
enableParkingCheckOutWithOfficeCheckOut,BOOLEAN,Controls whether parking checkout is automatically performed along with office checkout.,"Emp Exp Common Config, Guard App",2
enablePerpetualDigipassForAllUsers,BOOLEAN,Allows DigiPass generation without office booking.,Emp Exp Common Config,1
enablePrintBadgeForInviteFlow,BOOLEAN,Enables badge printing for visitors via Invite flow.,VMS,1
enablePriorityWiseAutoSlotAllocate,BOOLEAN,"When enabled, slot is assigned in priority order based on display order value.","Booking Rule Engine, Emp Exp Common Config",2
enablePrivilegeOnApp,BOOLEAN,To show resources while booking based on privilege.,Booking Rule Engine,1
enableProjectCodeFor,LIST,Enables Project Code field for specified booking types.,Emp Exp Common Config,1
enableProjectColor,BOOLEAN,Enables enhanced seat and team color legends on floor plan.,Emp Exp Common Config,1
enableQRBasedRemoteSignin,BOOLEAN,Enables QR-based remote sign-in.,Emp Exp Common Config,1
enableQRBasedSignOutButton,BOOLEAN,Enables QR-based sign-out.,Emp Exp Common Config,1
enableQrCodeForSeatManagement,BOOLEAN,Enables QR based validation for check in,Guard App,1
enableQrCodeForSeatSanitize,BOOLEAN,Enables or disables QR code scanning for seat sanitization.,Guard App,1
enableRecurrenceOnTeamPlanner,BOOLEAN,-,Booking Rule Engine,1
enableSafeReachForBookingTypes,LIST,Defines booking types eligible for Safe Reach.,Emp Exp Common Config,1
enableSafeReachWisList,LIST,Defines environments where Safe Reach is enabled.,Emp Exp Common Config,1
enableScrollToConsentEnforcement,BOOLEAN,This property controlled whether user have to scroll till end to enable the CTA's or not,VMS,1
enableSelfRegistrationOnKiosk,BOOLEAN,Enables employee self-registration on kiosk.,VMS,1
enableSeparateMealOption,BOOLEAN,Enable meal-only booking (coupled with existing property to enable meals).,Booking Rule Engine,1
enableSignatureForConsentSafeReach,BOOLEAN,Requires signature-based consent in Safe Reach form.,VMS,1
enableStandardMealSelectionFlow,BOOLEAN,Enables standard meal booking flow and overrides both normal chip and cart view.,Emp Exp Common Config,1
enableSuppportRequest,BOOLEAN,-,Emp Exp Common Config,1
enableTeamAsResource,BOOLEAN,Creates resource entry for newly created teams.,Emp Exp Common Config,1
enableTeamCalendarRMView,BOOLEAN,Enables hierarchy filter on Team Calendar.,Emp Exp Common Config,1
enableTimeBasedDeskAllocation,BOOLEAN,Enables time-based desk allocation and disables List View.,Emp Exp Common Config,1
enableTimezoneWithOfficeName,BOOLEAN,Controls whether the office name is displayed along with its timezone.,"Emp Exp Common Config, Emp Exp Internal Config",2
enableTransportBookingBulkUpload,BOOLEAN,-,Emp Exp Common Config,1
enableVisitorManagementOnApp,BOOLEAN,Enables visitor management in app.,Emp Exp Common Config,1
enableVisitorParking,BOOLEAN,Enables parking for visitors (currently not in use).,VMS,1
enableWaitlistBooking,BOOLEAN,Enables waitlist functionality in parking bookings.,Emp Exp Common Config,1
enableWalkInEmail,BOOLEAN,Not in use.,VMS,1
enableWeeklyOffBookings,BOOLEAN,-,Booking Rule Engine,1
enableWisThemeColors,BOOLEAN,Enables dynamic theming using wisThemeColors property.,Emp Exp Common Config,1
endHour,INTEGER,"This configuration defines the end time of the bookable time in the meeting rooms timeline - room level configuration. Integer value, 0-24.",Meeting Rooms,1
endTimeBufferRoomBookingBuidLevel,BOOLEAN,Defines end time buffer for meeting room bookings at BUID level for the Buffer Time workflow in catering/IT request.,Meeting Rooms,1
endTimeBufferRoomBookingRoomLevel,INTEGER,Defines end time buffer for meeting room bookings at room level for the Buffer Time workflow in catering/IT request.,Meeting Rooms,1
enforceReAuthentication,BOOLEAN,Enables enforcement of re-authentication.,Emp Exp Common Config,1
enforceReAuthenticationDurationInMinutes,DOUBLE,Defines re-authentication validity duration in minutes.,Emp Exp Common Config,1
ENGINEERING,JSON,-,"App Server Config, App Server Config (.in)",2
entryApprovalFromFrontdesk,BOOLEAN,Not in use.,VMS,1
entryTimeInLimit,INTEGER,Defines buffer time for entry in the 2-step check-in/checkout process.,VMS,1
entryType,STRING,-,Guard App,1
env,JSON,Defines the environment to which the site is mapped.,Guard App,1
excludeMealOnlyBookingsFromActiveBookingCount,BOOLEAN,Decides whether to exclude meal booking from web/app/bulk from active booking count for any user.,Emp Exp Common Config,1
expiredRequestNotificationEnabled,BOOLEAN,Controls whether notifications are sent when booking approval requests expire.,"Booking Rule Engine, WIS Seat Booking",2
expiryCutOffInMinutes,INTEGER,Controls when a pending seat booking request should be treated as expired,"Booking Rule Engine, WIS Seat Booking",2
expiryNotificationCutOffInMinutes,INTEGER,"Defines how many minutes before a booking approval request expires, used in conjunction with expiryCutOffInMinutes for approval-flow reminders.","Booking Rule Engine, WIS Seat Booking",2
extCheckinToBookingBuffer,DOUBLE,-,Booking Rule Engine,1
externalChannelCheckIn,BOOLEAN,-,Booking Rule Engine,1
externalEmailIdsMapToTriggerOnVisitorCheckin,JSON,Not in use.,VMS,1
externalEmailIdsToTriggerOnVisitorCheckin,LIST,Not in use.,VMS,1
externalEmployeeList,LIST,Stores external stakeholder email and name details.,VMS,1
externalNotifications,JSON,Controls external notifications (backend property).,VMS,1
externalStaffUi,STRING,Defines External Staff UI URL.,Emp Exp Common Config,1
FAB_ITEMS_DISPLAY_ORDER_LIST,LIST,This property controls the FAB button menu in app.,"App Server Config, App Server Config (.in)",2
fabDisplayNames,LIST,Defines FAB display names.,Emp Exp Common Config,1
facilityMailList,STRING,For IT request workflow to control who receives the IT request emails.,Meeting Rooms,1
FDReportColumnsEmployee,JSON,Defines configurable columns for Employee Front Desk report.,VMS,1
FDReportColumnsVisitor,JSON,Defines configurable columns for Visitor Front Desk report.,VMS,1
FEATURE_MEDICAL_EMERGENCY_EMAIL_RM,BOOLEAN,-,Emp Exp Common Config,1
FEATURE_MEDICAL_EMERGENCY_EMAIL_TM,BOOLEAN,-,Emp Exp Common Config,1
featureBookingBuids,STRING,-,Guard App,1
featurePhoneEnabled,DOUBLE,-,Guard App,1
FELLOW_PASSENGER_BOARDED_HEADER,STRING,-,Email Emp Experience,1
FELLOW_PASSENGER_NO_SHOW_HEADER,STRING,-,Email Emp Experience,1
FILE_BASED_UPLOAD,BOOLEAN,Enables Desk bulk upload option in Seat Management.,PMS,1
filterNoAvailableSeatInFloor,BOOLEAN,Filters floors without available seats.,"Booking Rule Engine, Emp Exp Common Config",2
finalScreenCTATextSelfCheckInFlow,JSON,This property controlled what to show as the end button text in different flows,VMS,1
FLOOR_PREMISE_NAME,STRING,-,Meeting Rooms,1
FLOOR_VIEW,JSON,Controls the group type configuration for hierarchy setup on the floor plan.,Guard App,1
floorKioskAllowOfficeCheckin,LIST,New property for controlling office check-in via Floor Kiosk.,VMS,1
floorKioskCheckinInfo,BOOLEAN,Enables real-time desk check-in display on Floor Kiosk.,Emp Exp Common Config,1
floorKioskCheckInOutEmails,LIST,"Conditions to send check-in/checkout mail on, values should be of type [CHECKIN, CHECKOUT].",Booking Rule Engine,1
floorKioskConfigs,JSON,Defines Floor Kiosk configurations in Settings.,VMS,1
floorKioskUrl,STRING,Floor Kiosk URL.,Emp Exp Common Config,1
floorManagement,STRING,Defines Floor Management URL.,Emp Exp Common Config,1
floorPlan,STRING,Defines primary Floor Plan URL.,Emp Exp Common Config,1
Floorplan_Legend_Employee_Web_Expanded,BOOLEAN,Controls expanded or collapsed legend state on employee web floor plan.,Emp Exp Common Config,1
floorPlanUI,STRING,Defines Floor Plan UI URL.,Emp Exp Common Config,1
floorPlanViewMeetingRoomsWeb,BOOLEAN,Enables floor plan view for meeting rooms on web.,Emp Exp Common Config,1
FORECAST_ENABLED,BOOLEAN,Enables the Desk Forecasting feature.,PMS,1
forecastingColumns,JSON,Defines the column mapping and labels used in forecasting reports.,"Guard App, WIS Seat Booking",2
forecastingEfficiancy,DOUBLE,-,Emp Exp Common Config,1
forms_configurations,JSON,Controls belongings configuration for VMS self check-in flow.,VMS,1
formsMetaDataForHost,JSON,Controls host-side custom fields in invited flow.,VMS,1
formsMetaDataForHostPWC,JSON,Handles host-side custom fields and belongings in invited flow (PWC).,VMS,1
formsMetaDataForVisitor,JSON,Controls visitor-side custom fields in invited flow.,VMS,1
formsMetaDataForVisitorPWC,JSON,Handles visitor-side custom fields and belongings in invited flow (PWC).,VMS,1
formsMetaDataForWalkIn,JSON,Handles custom fields and belongings for Walk-in flow.,VMS,1
FRESHCHATCONFIGURATIONS,JSON,-,"App Server Config, App Server Config (.in)",2
FRONT_DESK,BOOLEAN,Enables Visitor Management for Front Desk.,PMS,1
front_desk_configurations,JSON,Defines core functionalities visible on Front Desk.,VMS,1
frontDeskColumns,LIST,Controls column dropdown configuration on Front Desk.,VMS,1
gatepassDelaycutoff,DOUBLE,-,Booking Rule Engine,1
gatepassExpiryMinutes,INTEGER,Defines DigiPass expiry duration after booking start.,Emp Exp Common Config,1
gender,STRING,Controls whether the Gender field is shown or hidden during employee profile validation.,Emp Exp Common Config,1
generateGatepassAdvanceCutOff,DOUBLE,Defines minutes before booking start when DigiPass generation becomes active.,Emp Exp Common Config,1
generateGatepassDelayCutOff,DOUBLE,Defines minutes after booking start when DigiPass generation is allowed.,Emp Exp Common Config,1
genericLabelForDesk,STRING,Resource name label to replace Desk keyword on all employee and admin pages.,"Booking Rule Engine, Emp Exp Common Config",2
GLOBAL ADMIN,LIST,Configures Global Admin role access.,PMS,1
GRAND_LAUNCH_ENABLED,BOOLEAN,This property will be used to enable the feature grand launch communication,"App Server Config, App Server Config (.in)",2
GRAND_LAUNCH_END_TIME,STRING,-,"App Server Config, App Server Config (.in)",2
GRAND_LAUNCH_START_TIME,STRING,-,"App Server Config, App Server Config (.in)",2
groupTypes,JSON,Defines the group types used for hierarchy setup.,Guard App,1
guardAppCutOffTime,STRING,Defines the cutoff time for guard application actions such as entry validation.,Guard App,1
GUEST_BULK_UPLOAD,BOOLEAN,Enables bulk upload option for visitors.,VMS,1
GUEST_POLICY_HEADER,STRING,Adds a customizable guest policy header.,VMS,1
hideBookingTimeMealOnly,BOOLEAN,-,Emp Exp Common Config,1
HideCancelButton,BOOLEAN,Controls visibility of the Cancel button on the Meeting Room Kiosk at room level.,Meeting Rooms,1
HideCheckInButton,BOOLEAN,Controls visibility of the check-in button on the Meeting Rooms Kiosk screen,Meeting Rooms,1
HideEndButton,BOOLEAN,Controls visibility of the End Now button on the Meeting Rooms Kiosk screen,Meeting Rooms,1
HideExtendButton,BOOLEAN,Controls visibility of the Extend on the Meeting Rooms Kiosk screen,Meeting Rooms,1
HideMeetingTitle,BOOLEAN,Controls visibility of the meeting title sendRoomBookingEmailToAllParticipants,Meeting Rooms,1
HideOrganizerName,BOOLEAN,Controls visibility of the organizer name on the Meeting Rooms Kiosk screen,Meeting Rooms,1
hideParkingSlotInfo,BOOLEAN,-,Booking Rule Engine,1
hideScheduleButtonFromFab,BOOLEAN,-,Emp Exp Common Config,1
HideStartMeetingButton,BOOLEAN,Controls visibility of the Start Meeting button on the Meeting Room Kiosk.,Meeting Rooms,1
hierarchy,LIST,Defines organizational hierarchy levels.,Emp Exp Common Config,1
homeGeocode,STRING,Controls whether the Home Geocode field is shown or hidden during employee profile validation.,Emp Exp Common Config,1
HOST_POLICY_HEADER,STRING,Adds a customizable host policy header.,VMS,1
hostNotifications,JSON,Controls host notifications (backend property).,VMS,1
HR MANAGER,LIST,Configures HR Manager role access.,PMS,1
hr_manager,LIST,Configures HR Manager role access.,PMS,1
iadeaLightsBrightness,JSON,This property controls colour and brightness of led lights of IADEA Device for Meeting Rooms Kiosk,Meeting Rooms,1
identification,BOOLEAN,Allows enablement of identification on front desk,VMS,1
igonreErrorOfArrogyaSetu,BOOLEAN,Ignores Aarogya Setu app status check errors.,Emp Exp Common Config,1
IMPLEMENTATION_HEAD,LIST,Configures Implementation Head role access.,PMS,1
includeChildHierarchy,BOOLEAN,Controls inclusion of child hierarchy levels.,Emp Exp Common Config,1
INDEMNIFICATION_REASONS,STRING,Defines available indemnification reasons.,Emp Exp Common Config,1
industryStandard,JSON,Controls industry standard values on Admin Dashboard metric cards.,Emp Exp Common Config,1
INVITE_VISITOR,BOOLEAN,Enables the Visitor Management > Invite Visitor page in the sidenav.,PMS,1
INVITE_VISITOR_FROM_ROOMS,BOOLEAN,Enabled the Meeting and Visitor booking workflow from meeting booking from on web and mobile.,Meeting Rooms,1
INVITE_VISITOR_ROOMS,BOOLEAN,Enables Invite Visitor tab within the Meeting Rooms Outlook Add-in.,Meeting Rooms,1
inviteFormDefaultOfficeSelection,BOOLEAN,Defines default office selection in Invite Visitor form.,VMS,1
IPBasedCheckinEnabled,BOOLEAN,Restricts web check-in based on IP address.,Emp Exp Common Config,1
is2StepCheckInEnabled,BOOLEAN,Enables 2-step check-in and check-out process.,VMS,1
IS_RICHEMONT,BOOLEAN,Enables Richemont-specific workflow configurations.,Meeting Rooms,1
IS_WIS_CALENDAR,BOOLEAN,Enables the Native Rooms view on the Outlook Add-In and allows use of WIS Meeting Rooms with tags and allocations.,"Emp Exp Common Config, Meeting Rooms",2
isAmenitiesFilter,BOOLEAN,Enables amenities filter in desk booking.,"Booking Rule Engine, Emp Exp Common Config",2
isAppFeedbackEnabled,BOOLEAN,Enables app feedback feature.,"Booking Rule Engine, Emp Exp Common Config",2
isAutoAbsentEnabled,BOOLEAN,Enables auto-absent feature and automatic seat release if check-in does not occur within cutoff.,"Booking Rule Engine, Emp Exp Common Config",2
isAutoEntryAllowed,BOOLEAN,Automatically switches to the next DigiPass scan mode after the first scan is completed.,"Booking Rule Engine, Guard App",2
isAutoLogoutEnabled,BOOLEAN,-,Booking Rule Engine,1
isAutoProvision,BOOLEAN,-,Emp Exp Common Config,1
isBlSubblBuid,BOOLEAN,Enables N-level hierarchy/Business Line feature for BU.,Emp Exp Common Config,1
isBookingForNonRegisteredEmpBySpocConfigEnabled,BOOLEAN,Controls whether a SPOC is allowed to create bookings for non-registered employees via SPOC flows (Work Planner / Booking for Someone Else flow).,PMS,1
isBuNudgeNotifEnabled,BOOLEAN,Enables weekly nudge notifications for users without bookings.,Emp Exp Common Config,1
isCalendarInviteEnabled,BOOLEAN,Enables calendar invite option.,"Booking Rule Engine, Emp Exp Common Config",2
isCheckinNotificationEnabled,BOOLEAN,Enables notification after successful check-in.,"Booking Rule Engine, Emp Exp Common Config",2
isCoreBuid,BOOLEAN,Tells the Guard service which BUID is the primary (default) site for that Guard configuration block.,Guard App,1
isCustomShiftsRestricted,BOOLEAN,TO BE STRICTLY UPDATED ONLY FROM CONFIGURATION PAGE. Defines if the selection of custom shift would be allowed or not.,Booking Rule Engine,1
isDelegationEnabled,BOOLEAN,Master switch enabling Delegation feature.,Emp Exp Common Config,1
isDynamicFieldsMandatory,BOOLEAN,Defines if dynamic fields is mandatory.,"Booking Rule Engine, Emp Exp Common Config, Emp Exp Internal Config",3
isEditEndTimeOnFrontDeskEnabled,BOOLEAN,Enables editing of invite end time on Front Desk.,VMS,1
isEmloyeeCreationForMsuEnabled,BOOLEAN,Controls MSU employee creation.,Emp Exp Common Config,1
isEmployeeCreationEnabledForMSu,BOOLEAN,Controls MSU employee creation feature.,Emp Exp Common Config,1
isEmployeeFlowEnabled,BOOLEAN,Enables employee check-in flow on kiosk.,VMS,1
isGDPRCookiePolicyEnabled,BOOLEAN,Displays GDPR compliance pop-up in mobile app.,Emp Exp Common Config,1
IsGuestWifiEnabled,BOOLEAN,Enables or disables Guest Wi-Fi.,VMS,1
isMasterNudgeNotifEnabled,BOOLEAN,Controls master nudge notifications.,Emp Exp Common Config,1
isMultipleScan,BOOLEAN,Controls whether a QR code can be scanned multiple times for the same context.,Guard App,1
isPhoneValidationOptional,BOOLEAN,Controls whether phone number is optional or mandatory during employee registration.,"Booking Rule Engine, Emp Exp Common Config",2
isReportingAndAnalyticEnable,BOOLEAN,-,Emp Exp Common Config,1
isSeatBookingAssignment,BOOLEAN,Controls seat assignment feature.,Emp Exp Common Config,1
isSeatValidationEnabled,BOOLEAN,-,Booking Rule Engine,1
isSeatValidationEnabledOnQrScan,BOOLEAN,-,Booking Rule Engine,1
isSendEmailOnHighTemperature,BOOLEAN,Sends email notifications to configured stakeholders when an employee's temperature meets or exceeds the maximum threshold during guard app check-in.,Guard App,1
isShiftPairingEnabled,BOOLEAN,Defines the enablement of shift pairs.,Booking Rule Engine,1
isShuttleRequired,BOOLEAN,Replaces cab labels and icons with shuttle terminology across modules.,Emp Exp Common Config,1
isSummedFloorCapacity,BOOLEAN,"When enabled, the system calculates total seat capacity by summing floor capacities; when disabled, seat capacity can be manually defined.",Guard App,1
isTemperatureScanEnabled,BOOLEAN,Enables the temperature scan feature.,Guard App,1
isTemporaryCheckoutEnabled,BOOLEAN,Enables temporary checkout option on Front Desk.,VMS,1
isTripRatingMandatory,BOOLEAN,Controls trip rating requirement.,Emp Exp Common Config,1
isVisitorCheckinMsTeamsNotificationEnabled,BOOLEAN,Enables visitor check-in notifications via email and MS Teams.,VMS,1
isVisitorCheckoutMsTeamsNotificationEnabled,BOOLEAN,Controls visitor check-out notifications on MS Teams.,VMS,1
isVisitorPhotoCaptureEnabled,LIST,Controls whether photo capture is required during self check-in.,VMS,1
isWelcomeEmailEnabled,BOOLEAN,-,Emp Exp Common Config,1
isZedaReleaseNoteEnabled,BOOLEAN,Displays Zeda widget showcasing new features and feedback.,Emp Exp Common Config,1
IT_REQUEST_OUTLOOK_ADDIN,BOOLEAN,Enables IT request functionality within the WorkInSync Outlook Add-in.,Meeting Rooms,1
itemsDynamicFields,LIST,dynamic fields for IT Request,Meeting Rooms,1
IVR,JSON,-,"App Server Config, App Server Config (.in)",2
jobTitleWiseCalenderInDays,JSON,-,Emp Exp Common Config,1
KIOSK_IMAGE_FOR_OFFICE,STRING,Controls whether a kiosk image is applied at the office level (instead of per-room / per-kiosk only).,Meeting Rooms,1
kioskDefaultImage,STRING,Defines the default image displayed on kiosks across the BUID.,Meeting Rooms,1
kioskEmployeeRegistrationFields,JSON,Controls fields displayed in kiosk employee self-registration form.,VMS,1
kioskInviteOptions,LIST,Controls QR-based check-in and check-out options on kiosk.,VMS,1
kioskRequireOTPBeforeRegister,BOOLEAN,Enables OTP validation before kiosk employee registration.,VMS,1
KioskSafeReachInterval,LIST,Defines Safe Reach interval (in minutes) for VMS kiosk.,VMS,1
landingPlanHeaders,LIST,Headers for landing plan,WIS Seat Booking,1
landmark,STRING,Controls visibility of Landmark field during registration.,Emp Exp Common Config,1
lastSwipeAsCheckoutTimeForBUID,LIST,Uses the last swipe checkout time as final checkout instead of auto-checkout for access card integration clients.,Emp Exp Common Config,1
LATEST_ANDROID_APP_VERSION,STRING,Used to define the latest app version,"App Server Config, App Server Config (.in)",2
LATEST_IOS_APP_VERSION,STRING,Used to define latest ios app version,"App Server Config, App Server Config (.in)",2
Leadership,LIST,Configures Leadership role access.,PMS,1
limitEmployeeBookingDays,BOOLEAN,-,Booking Rule Engine,1
limitEmployeeBookingDaysType,STRING,-,Booking Rule Engine,1
limitEmployeeBookingDaysUnit,DOUBLE,-,Booking Rule Engine,1
limitMealDuringBookingCreation,BOOLEAN,-,Booking Rule Engine,1
listOfEligibleBuidsForAutoClockout,LIST,Defines BUs eligible for auto clock-out.,Emp Exp Common Config,1
listOfEligibleBuidsForBusNotification,LIST,-,Emp Exp Common Config,1
listOfExcludedBuidsForCheckin,LIST,Defines BUs excluded from check-in.,Emp Exp Common Config,1
listOfIpsWithRange,LIST,Defines whitelisted IP addresses or IP ranges for office check-in restrictions.,Guard App,1
listPropertyExample,LIST,-,Emp Exp Internal Config,1
liveSupportChatFeatureEnabled,BOOLEAN,-,Emp Exp Common Config,1
LOAD_COMMON_PROFILE_PAGE,BOOLEAN,Enables the default WIS profile page.,PMS,1
lockerBookingEnabled,BOOLEAN,Update Desk/Office labels to Locker based on this configuration.,Booking Rule Engine,1
LOG_UPLOAD_RECIPIENTS,LIST,-,App Server Config,1
LOGOUT_CANCELLED_HEADER,STRING,-,Email Emp Experience,1
LOGOUT_CANCELLED_MESSAGE,STRING,-,Email Emp Experience,1
LOGOUT_SCHEDULE_CANCELLATION,STRING,-,Email Emp Experience,1
madatoryFieldforScheduling,LIST,-,"Emp Exp Common Config, Emp Exp Internal Config",2
maintenanceWindow,JSON,Controls the maintenance event suggestion window.,Guard App,1
mandatoryBookingRequiredForCounterScan,BOOLEAN,"Ensures only users with an active meal booking can scan the counter QR code to consume a meal, preventing scans without bookings.",Booking Rule Engine,1
mappedShuttleRouteBufferInMinutes,DOUBLE,-,Emp Exp Common Config,1
mapSchedulesToBooking,BOOLEAN,Automatically maps schedules to matching bookings.,Emp Exp Common Config,1
MASS_MAIL_SENDER_LIST,STRING,Mass mail sender list.,Email Emp Experience,1
maxApprovalRequest,INTEGER,For resource approval workflow - defines maximum overlapping approval requests per user.,Meeting Rooms,1
maxBufferForCheckin,DOUBLE,-,Booking Rule Engine,1
maxDurationInMinutes,INTEGER,Defines maximum duration for meeting room bookings.,Meeting Rooms,1
maxEmployeeSelectionWorkplanner,INTEGER,Defines maximum number of employees allowed for recurring bookings.,Emp Exp Common Config,1
maxHoursAllowedForCheckin,DOUBLE,-,Booking Rule Engine,1
maximumCharacterLimit,DOUBLE,-,Emp Exp Common Config,1
maxShiftDuration,DOUBLE,-,Booking Rule Engine,1
maxTemperatureAllowed,DOUBLE,Defines the maximum temperature threshold allowed for entry validation.,Guard App,1
maxTimeAfterClockin,BOOLEAN,-,Booking Rule Engine,1
maxTimeBeforeClockin,BOOLEAN,-,Booking Rule Engine,1
maxTripLevelNonComplianceEventsAllowed,INTEGER,-,Emp Exp Common Config,1
mealCancelCutoffInMinutes,INTEGER,Property to enable/disable booking cancellation option if created with meal and 'enableSeparateMealOption' is enabled.,Booking Rule Engine,1
mealCutoffInMinutes,DOUBLE,Defines meal booking cutoff calculated from 00:00 of booked date.,Emp Exp Common Config,1
mealFeedbackEnabled,BOOLEAN,Enables meal feedback feature and reporting.,Emp Exp Common Config,1
mealFeedbackOptions,JSON,Configures meal feedback options.,Emp Exp Common Config,1
mealFinalStage,LIST,Defines the final status of a meal booking.,Booking Rule Engine,1
mealMailList,STRING,Defines email recipients for catering-related communications.,Meeting Rooms,1
mealNotifications,BOOLEAN,Enable e-mails related to meal bookings for QR.,Emp Exp Common Config,1
mealOnlyBulkBookingOptionalHeaders,LIST,Optional headers.,Emp Exp Common Config,1
mealPlanningEnabled,BOOLEAN,Enables meal booking via Work Planner.,"Booking Rule Engine, Emp Exp Common Config",2
mealPlanningMandatory,BOOLEAN,Makes meal selection mandatory in office booking form.,Emp Exp Common Config,1
medicalEmergencyRequest,JSON,-,Emp Exp Common Config,1
MEETING_EMAIL_OTP_TO_AUTHENTICATE,BOOLEAN,Controls the OTP notifcation send via email to verify end or cancellation of meeting bookings via meeting room kiosk,Meeting Rooms,1
MEETING_END_NOTIFICATION,INTEGER,Controls the notification sent when the meeting has ended via meeting room kiosk,Meeting Rooms,1
MEETING_ROOM_ENABLED,BOOLEAN,Enables the Meeting Room option under Team Manager Dashboard.,PMS,1
MEETING_ROOM_RELEASE_IF_NO_CHECKIN,INTEGER,Releases room if check-in does not occur within configured minutes.,Meeting Rooms,1
MEETING_ROOM_SUBSCRIPTION_JOB_EMAIL_LIST,LIST,Defines email recipients for room subscription status.,Meeting Rooms,1
MEETING_ROOM_SYNC_JOB_EMAIL_LIST,LIST,Defines email recipients for meeting room sync job notifications.,Meeting Rooms,1
MEETING_START_NOTIFICATION,INTEGER,Controls the notification sent when the meeting has started via meeting room kiosk,Meeting Rooms,1
Meeting_Title_Catering_Order,BOOLEAN,Controls display of meeting title in the Catering Dashboard detailed view,Meeting Rooms,1
meetingDetailsForDateUrl,STRING,Defines Meeting Details by date URL.,Emp Exp Common Config,1
