Property Name,Data Type,Description
runTransportOptOutJob,BOOLEAN,Auto rejection/approval + schedule deletion for opted out users.
liveSupportChatFeatureEnabled,BOOLEAN,-
enableSuppportRequest,BOOLEAN,-
optOutPendingEmailSubject,STRING,-
workplannerCheckInAdvanceCutOffInMinute,INTEGER,Defines early check-in limit for Workplanner bookings.
ACCESS_MATRIX_ENABLED_BUIDS,LIST,Defines BUs with access matrix enabled.
isWelcomeEmailEnabled,BOOLEAN,-
enableNewAllocationFlow,BOOLEAN,Enables new allocation flow required for time-based allocation.
enableStandardMealSelectionFlow,BOOLEAN,Enables standard meal booking flow and overrides both normal chip and cart view.
checkInByTimeChip,BOOLEAN,True - Show the check-in-by chip and chevron to provide users with detailed check-in times. False - Do not show the check-in-by chip or the chevron on booking cards.
mealOnlyBulkBookingOptionalHeaders,LIST,Optional headers.
